"","torneo","Barrera","Chochos","Dani","Vélez","Total_Puntos"
"1","Liga MX",85,76,70,66,297
"2","Premier League",46,50,59,41,196
"3","Brasileirão Série A",29,32,33,30,124
"4","Bundesliga",21,20,28,19,88
"5","La Liga",19,24,19,20,82
"6","Serie A",18,20,21,16,75
"7","Liga Profesional de Argentina",16,20,17,19,72
"8","Ligue 1",9,8,11,7,35
"9","J League",2,3,4,0,9
"10","Saudi Pro League",3,1,2,3,9
"11","SüperLig",2,2,2,1,7
"12","Categoría Primera A",2,2,1,1,6
"13","Eredivisie",2,1,1,2,6
"14","Liga Portugal",2,2,1,1,6
"15","MLS",0,2,1,2,5
"16","K League 1",1,0,1,1,3
"17","Nile League",1,0,1,1,3
"18","RPL",1,1,1,0,3
"19","Soúper Ligk Elladas",1,1,0,1,3
"20","Primera División de Chile",1,1,0,0,2
"21","Scottish Premiership",1,0,0,0,1
"22","Liga 1",0,0,0,0,0
