torneo,partidos,puntos_barrera,rating_barrera,rating_gral_barrera,contestados_barrera,expected_rating_barrera,expected_rating_gral_barrera,expected_points_barrera,puntos_chochos,rating_chochos,rating_gral_chochos,contestados_chochos,expected_rating_chochos,expected_rating_gral_chochos,expected_points_chochos,puntos_dani,rating_dani,rating_gral_dani,contestados_dani,expected_rating_dani,expected_rating_gral_dani,expected_points_dani,puntos_velez,rating_velez,rating_gral_velez,contestados_velez,expected_rating_velez,expected_rating_gral_velez,expected_points_velez,rating_grupal_torneo,rating_grupal_gral
Liga MX,170,85,0.5,0.495,170,0.5,0.496,85.0,76,0.447,0.495,170,0.5,0.495,85.0,70,0.412,0.497,170,0.412,0.506,70.04,66,0.388,0.426,163,0.405,0.472,68.85,0.437,0.478
Premier League,115,46,0.4,0.495,115,0.4,0.496,46.0,50,0.435,0.495,109,0.394,0.495,45.31,59,0.513,0.497,113,0.522,0.506,60.03,41,0.357,0.426,95,0.432,0.472,49.68,0.426,0.478
Champions League,101,59,0.584,0.495,101,0.584,0.496,58.984,54,0.535,0.495,101,0.584,0.495,58.984,44,0.436,0.497,91,0.484,0.506,48.884,41,0.406,0.426,82,0.5,0.472,50.5,0.49,0.478
Brasileirão Série A,71,29,0.408,0.495,71,0.408,0.496,28.968,32,0.451,0.495,69,0.406,0.495,28.826,33,0.465,0.497,69,0.478,0.506,33.938,30,0.423,0.426,68,0.441,0.472,31.311,0.437,0.478
UEFA Nations League,67,33,0.493,0.495,67,0.493,0.496,33.031,36,0.537,0.495,64,0.484,0.495,32.428,36,0.537,0.497,67,0.537,0.506,35.979,33,0.493,0.426,66,0.5,0.472,33.5,0.515,0.478
Europa League,62,28,0.452,0.495,61,0.459,0.496,28.458,34,0.548,0.495,62,0.452,0.495,28.024,29,0.468,0.497,61,0.475,0.506,29.45,22,0.355,0.426,49,0.449,0.472,27.838,0.456,0.478
Sin torneo,53,36,0.679,0.495,53,0.679,0.496,35.987,30,0.566,0.495,53,0.679,0.495,35.987,36,0.679,0.497,53,0.679,0.506,35.987,29,0.547,0.426,51,0.569,0.472,30.157,0.618,0.478
Eurocopa,51,19,0.373,0.495,51,0.373,0.496,19.023,28,0.549,0.495,50,0.36,0.495,18.36,27,0.529,0.497,50,0.54,0.506,27.54,24,0.471,0.426,49,0.49,0.472,24.99,0.481,0.478
Liga Profesional de Argentina,46,16,0.348,0.495,46,0.348,0.496,16.008,20,0.435,0.495,46,0.348,0.495,16.008,17,0.37,0.497,44,0.386,0.506,17.756,19,0.413,0.426,39,0.487,0.472,22.402,0.392,0.478
Bundesliga,45,21,0.467,0.495,45,0.467,0.496,21.015,20,0.444,0.495,44,0.455,0.495,20.475,28,0.622,0.497,45,0.622,0.506,27.99,19,0.422,0.426,38,0.5,0.472,22.5,0.489,0.478
La Liga,44,19,0.432,0.495,44,0.432,0.496,19.008,24,0.545,0.495,44,0.432,0.495,19.008,19,0.432,0.497,44,0.432,0.506,19.008,20,0.455,0.426,41,0.488,0.472,21.472,0.466,0.478
Serie A,43,18,0.419,0.495,43,0.419,0.496,18.017,20,0.465,0.495,43,0.419,0.495,18.017,21,0.488,0.497,43,0.488,0.506,20.984,16,0.372,0.426,33,0.485,0.472,20.855,0.436,0.478
Leagues Cup,35,23,0.657,0.495,35,0.657,0.496,22.995,22,0.629,0.495,35,0.657,0.495,22.995,22,0.629,0.497,35,0.629,0.506,22.015,14,0.4,0.426,24,0.583,0.472,20.405,0.579,0.478
Copa América,32,20,0.625,0.495,32,0.625,0.496,20.0,19,0.594,0.495,32,0.625,0.495,20.0,21,0.656,0.497,30,0.7,0.506,22.4,15,0.469,0.426,29,0.517,0.472,16.544,0.586,0.478
Eliminatorias Conmebol,30,9,0.3,0.495,30,0.3,0.496,9.0,12,0.4,0.495,30,0.3,0.495,9.0,8,0.267,0.497,30,0.267,0.506,8.01,11,0.367,0.426,30,0.367,0.472,11.01,0.334,0.478
Sudamericana,27,16,0.593,0.495,27,0.593,0.496,16.011,10,0.37,0.495,27,0.593,0.495,16.011,10,0.37,0.497,27,0.37,0.506,9.99,13,0.481,0.426,27,0.481,0.472,12.987,0.454,0.478
AFC Asian Qualifiers,23,15,0.652,0.495,23,0.652,0.496,14.996,11,0.478,0.495,23,0.652,0.495,14.996,13,0.565,0.497,23,0.565,0.506,12.995,10,0.435,0.426,23,0.435,0.472,10.005,0.532,0.478
Ligue 1,17,9,0.529,0.495,17,0.529,0.496,8.993,8,0.471,0.495,17,0.529,0.495,8.993,11,0.647,0.497,17,0.647,0.506,10.999,7,0.412,0.426,15,0.467,0.472,7.939,0.515,0.478
