etapa,resultado,partidos_por_resultado,partidos_por_etapa,porcentaje
Fase regular,Local,402,882,45.6
Fase regular,Visitante,263,882,29.8
Fase regular,Empate,217,882,24.6
Clasificación,Local,29,69,42.0
Clasificación,Empate,21,69,30.4
Clasificación,Visitante,19,69,27.5
Cuartos,Local,35,63,55.6
Cuartos,Visitante,22,63,34.9
Cuartos,Empate,6,63,9.5
Preparación,Local,32,53,60.4
Preparación,Visitante,11,53,20.8
Preparación,Empate,10,53,18.9
Semifinales,Local,20,40,50.0
Semifinales,Visitante,14,40,35.0
Semifinales,Empate,6,40,15.0
Final,Local,20,31,64.5
Final,Visitante,9,31,29.0
Final,Empate,2,31,6.5
Octavos,Local,13,16,81.3
Octavos,Visitante,3,16,18.8
Dieciseisavos,Local,5,14,35.7
Dieciseisavos,Visitante,5,14,35.7
Dieciseisavos,Empate,4,14,28.6
Playoff,Local,9,13,69.2
Playoff,Visitante,4,13,30.8
Repesca,Local,3,6,50.0
Repesca,Visitante,3,6,50.0
Tercer Lugar,Local,1,2,50.0
Tercer Lugar,Visitante,1,2,50.0
