fecha,puntos_barrera,puntos_chochos,puntos_dani,puntos_velez
5/3/2024,1,0,0,0
6/3/2024,3,0,2,1
10/3/2024,4,1,2,1
31/3/2024,5,1,3,2
6/4/2024,6,1,4,2
7/4/2024,6,1,4,2
9/4/2024,7,2,4,2
11/4/2024,7,3,5,2
14/4/2024,8,3,6,3
16/4/2024,10,4,7,3
17/4/2024,11,5,8,3
18/4/2024,12,6,11,6
20/4/2024,13,6,11,6
21/4/2024,14,7,12,6
22/4/2024,15,7,12,6
23/4/2024,15,7,13,6
24/4/2024,15,7,13,6
25/4/2024,16,7,14,6
26/4/2024,17,7,16,7
27/4/2024,19,8,16,10
28/4/2024,21,10,18,14
29/4/2024,22,11,19,14
30/4/2024,24,11,20,14
1/5/2024,25,11,20,14
2/5/2024,29,14,23,19
4/5/2024,33,18,28,21
5/5/2024,36,20,33,25
6/5/2024,37,20,33,25
7/5/2024,37,20,33,25
8/5/2024,38,21,36,25
9/5/2024,41,25,39,27
11/5/2024,42,26,40,27
12/5/2024,46,30,43,29
13/5/2024,46,30,43,29
14/5/2024,47,31,44,29
15/5/2024,49,35,47,31
16/5/2024,49,38,48,32
17/5/2024,49,39,49,32
18/5/2024,52,43,53,33
19/5/2024,59,52,60,39
20/5/2024,59,52,60,39
22/5/2024,59,52,60,39
23/5/2024,61,53,61,39
24/5/2024,62,54,62,40
25/5/2024,67,60,66,45
26/5/2024,68,62,68,47
29/5/2024,68,62,69,48
31/5/2024,69,63,71,49
1/6/2024,69,64,73,51
2/6/2024,69,64,73,51
3/6/2024,70,65,74,52
4/6/2024,73,66,75,53
5/6/2024,78,70,80,57
6/6/2024,79,71,81,58
7/6/2024,83,73,84,62
8/6/2024,90,78,92,65
9/6/2024,93,81,95,67
10/6/2024,96,83,98,70
11/6/2024,98,86,100,71
12/6/2024,99,87,102,72
14/6/2024,102,90,105,75
15/6/2024,104,94,107,77
16/6/2024,107,96,110,81
17/6/2024,108,97,111,82
18/6/2024,109,99,113,84
19/6/2024,110,100,114,86
20/6/2024,111,102,115,87
