diciembre,puntos_barrera,puntos_chochos,puntos_dani,puntos_velez
1/12/2024,7,8,8,6
2/12/2024,8,10,10,7
3/12/2024,9,11,12,8
4/12/2024,16,19,23,17
5/12/2024,16,19,24,17
6/12/2024,17,22,27,17
7/12/2024,22,26,31,21
8/12/2024,26,33,36,28
9/12/2024,27,35,37,29
10/12/2024,32,39,42,30
11/12/2024,39,44,42,30
12/12/2024,47,55,50,33
13/12/2024,47,56,50,33
14/12/2024,50,64,56,39
15/12/2024,59,71,63,47
16/12/2024,59,72,63,48
18/12/2024,64,77,67,52
19/12/2024,66,79,68,53
20/12/2024,67,80,69,54
21/12/2024,70,82,72,56
22/12/2024,75,86,77,59
23/12/2024,75,86,77,59
26/12/2024,78,90,80,61
27/12/2024,79,91,82,62
28/12/2024,79,91,82,62
29/12/2024,85,94,86,62
30/12/2024,85,94,88,62
