septiembre,puntos_barrera,puntos_chochos,puntos_dani,puntos_velez
5/9/2024,2,2,2,2
6/9/2024,2,3,2,3
8/9/2024,2,4,3,3
9/9/2024,3,5,4,4
10/9/2024,5,7,6,6
11/9/2024,6,8,6,6
13/9/2024,8,10,8,7
14/9/2024,13,15,12,13
17/9/2024,19,21,18,18
18/9/2024,24,27,21,21
19/9/2024,25,29,24,24
20/9/2024,26,30,26,25
21/9/2024,34,36,31,30
22/9/2024,39,41,36,36
23/9/2024,40,42,37,37
24/9/2024,42,44,39,39
25/9/2024,44,44,39,39
26/9/2024,45,47,42,43
27/9/2024,45,48,44,44
28/9/2024,50,52,50,49
29/9/2024,52,57,55,54
