fecha,puntos_barrera,puntos_chochos,puntos_dani,puntos_velez,puntos_disputados,cociente_barrera,cociente_chochos,cociente_dani,cociente_velez
5/3/2024,1,0,0,0,1,1.00,0.00,0.00,0.00
6/3/2024,2,0,2,1,2,1.00,0.00,1.00,0.50
10/3/2024,1,1,0,0,1,1.00,1.00,0.00,0.00
31/3/2024,1,0,1,1,1,1.00,0.00,1.00,1.00
6/4/2024,1,0,1,0,1,1.00,0.00,1.00,0.00
7/4/2024,0,0,0,0,1,0.00,0.00,0.00,0.00
9/4/2024,1,1,0,0,2,0.50,0.50,0.00,0.00
11/4/2024,0,1,1,0,2,0.00,0.50,0.50,0.00
14/4/2024,1,0,1,1,2,0.50,0.00,0.50,0.50
16/4/2024,2,1,1,0,2,1.00,0.50,0.50,0.00
17/4/2024,1,1,1,0,2,0.50,0.50,0.50,0.00
18/4/2024,1,1,3,3,3,0.33,0.33,1.00,1.00
20/4/2024,1,0,0,0,1,1.00,0.00,0.00,0.00
21/4/2024,1,1,1,0,2,0.50,0.50,0.50,0.00
22/4/2024,1,0,0,0,1,1.00,0.00,0.00,0.00
23/4/2024,0,0,1,0,1,0.00,0.00,1.00,0.00
24/4/2024,0,0,0,0,2,0.00,0.00,0.00,0.00
25/4/2024,1,0,1,0,1,1.00,0.00,1.00,0.00
26/4/2024,1,0,2,1,2,0.50,0.00,1.00,0.50
27/4/2024,2,1,0,3,5,0.40,0.20,0.00,0.60
28/4/2024,2,2,2,4,5,0.40,0.40,0.40,0.80
29/4/2024,1,1,1,0,1,1.00,1.00,1.00,0.00
30/4/2024,2,0,1,0,2,1.00,0.00,0.50,0.00
1/5/2024,1,0,0,0,2,0.50,0.00,0.00,0.00
2/5/2024,4,3,3,5,7,0.57,0.43,0.43,0.71
4/5/2024,4,4,5,2,6,0.67,0.67,0.83,0.33
5/5/2024,3,2,5,4,6,0.50,0.33,0.83,0.67
6/5/2024,1,0,0,0,1,1.00,0.00,0.00,0.00
7/5/2024,0,0,0,0,1,0.00,0.00,0.00,0.00
8/5/2024,1,1,3,0,4,0.25,0.25,0.75,0.00
9/5/2024,3,4,3,2,5,0.60,0.80,0.60,0.40
11/5/2024,1,1,1,0,2,0.50,0.50,0.50,0.00
12/5/2024,4,4,3,2,4,1.00,1.00,0.75,0.50
13/5/2024,0,0,0,0,1,0.00,0.00,0.00,0.00
14/5/2024,1,1,1,0,1,1.00,1.00,1.00,0.00
15/5/2024,2,4,3,2,5,0.40,0.80,0.60,0.40
16/5/2024,0,3,1,1,3,0.00,1.00,0.33,0.33
17/5/2024,0,1,1,0,1,0.00,1.00,1.00,0.00
18/5/2024,3,4,4,1,4,0.75,1.00,1.00,0.25
19/5/2024,7,9,7,6,9,0.78,1.00,0.78,0.67
20/5/2024,0,0,0,0,1,0.00,0.00,0.00,0.00
22/5/2024,0,0,0,0,1,0.00,0.00,0.00,0.00
23/5/2024,2,1,1,0,2,1.00,0.50,0.50,0.00
24/5/2024,1,1,1,1,2,0.50,0.50,0.50,0.50
25/5/2024,5,6,4,5,9,0.56,0.67,0.44,0.56
26/5/2024,1,2,2,2,4,0.25,0.50,0.50,0.50
29/5/2024,0,0,1,1,1,0.00,0.00,1.00,1.00
31/5/2024,1,1,2,1,3,0.33,0.33,0.67,0.33
1/6/2024,0,1,2,2,2,0.00,0.50,1.00,1.00
2/6/2024,0,0,0,0,1,0.00,0.00,0.00,0.00
3/6/2024,1,1,1,1,2,0.50,0.50,0.50,0.50
4/6/2024,3,1,1,1,4,0.75,0.25,0.25,0.25
5/6/2024,5,4,5,4,5,1.00,0.80,1.00,0.80
6/6/2024,1,1,1,1,1,1.00,1.00,1.00,1.00
7/6/2024,4,2,3,4,8,0.50,0.25,0.38,0.50
8/6/2024,7,5,8,3,10,0.70,0.50,0.80,0.30
9/6/2024,3,3,3,2,5,0.60,0.60,0.60,0.40
10/6/2024,3,2,3,3,3,1.00,0.67,1.00,1.00
11/6/2024,2,3,2,1,3,0.67,1.00,0.67,0.33
12/6/2024,1,1,2,1,2,0.50,0.50,1.00,0.50
14/6/2024,3,3,3,3,3,1.00,1.00,1.00,1.00
15/6/2024,2,4,2,2,4,0.50,1.00,0.50,0.50
16/6/2024,3,2,3,4,5,0.60,0.40,0.60,0.80
17/6/2024,1,1,1,1,3,0.33,0.33,0.33,0.33
18/6/2024,1,2,2,2,2,0.50,1.00,1.00,1.00
19/6/2024,1,1,1,2,3,0.33,0.33,0.33,0.67
20/6/2024,1,2,1,1,4,0.25,0.50,0.25,0.25
21/6/2024,0,2,1,1,4,0.00,0.50,0.25,0.25
22/6/2024,1,2,3,2,5,0.20,0.40,0.60,0.40
23/6/2024,2,3,3,2,4,0.50,0.75,0.75,0.50
24/6/2024,3,2,2,2,4,0.75,0.50,0.50,0.50
25/6/2024,2,2,2,2,6,0.33,0.33,0.33,0.33
26/6/2024,3,2,3,3,8,0.38,0.25,0.38,0.38
27/6/2024,1,1,1,1,2,0.50,0.50,0.50,0.50
28/6/2024,2,2,0,2,2,1.00,1.00,0.00,1.00
29/6/2024,4,3,3,4,6,0.67,0.50,0.50,0.67
30/6/2024,3,2,4,3,5,0.60,0.40,0.80,0.60
1/7/2024,3,4,3,1,4,0.75,1.00,0.75,0.25
2/7/2024,2,3,3,2,4,0.50,0.75,0.75,0.50
4/7/2024,1,1,1,1,1,1.00,1.00,1.00,1.00
5/7/2024,3,2,4,2,6,0.50,0.33,0.67,0.33
6/7/2024,3,4,7,4,8,0.38,0.50,0.88,0.50
7/7/2024,1,1,1,1,2,0.50,0.50,0.50,0.50
9/7/2024,2,2,2,2,2,1.00,1.00,1.00,1.00
10/7/2024,1,1,1,1,2,0.50,0.50,0.50,0.50
12/7/2024,1,1,1,1,4,0.25,0.25,0.25,0.25
13/7/2024,2,3,3,3,6,0.33,0.50,0.50,0.50
14/7/2024,0,1,2,1,2,0.00,0.50,1.00,0.50
16/7/2024,5,1,2,2,5,1.00,0.20,0.40,0.40
17/7/2024,6,4,5,5,8,0.75,0.50,0.63,0.63
18/7/2024,2,2,1,1,3,0.67,0.67,0.33,0.33
19/7/2024,2,0,0,0,2,1.00,0.00,0.00,0.00
20/7/2024,6,3,4,3,8,0.75,0.38,0.50,0.38
21/7/2024,1,3,2,2,5,0.20,0.60,0.40,0.40
23/7/2024,1,0,0,1,2,0.50,0.00,0.00,0.50
24/7/2024,3,2,2,1,5,0.60,0.40,0.40,0.20
25/7/2024,4,2,1,2,4,1.00,0.50,0.25,0.50
26/7/2024,4,2,3,3,7,0.57,0.29,0.43,0.43
27/7/2024,6,7,8,3,12,0.50,0.58,0.67,0.25
28/7/2024,4,3,2,2,5,0.80,0.60,0.40,0.40
30/7/2024,3,3,2,0,5,0.60,0.60,0.40,0.00
31/7/2024,4,5,5,4,8,0.50,0.63,0.63,0.50
1/8/2024,4,4,2,3,4,1.00,1.00,0.50,0.75
3/8/2024,2,2,3,0,6,0.33,0.33,0.50,0.00
7/8/2024,1,1,2,1,2,0.50,0.50,1.00,0.50
5/9/2024,2,2,2,2,4,0.50,0.50,0.50,0.50
6/9/2024,0,1,0,1,4,0.00,0.25,0.00,0.25
