mayo,puntos_barrera,puntos_chochos,puntos_dani,puntos_velez
1/5/2024,1,0,0,0
2/5/2024,5,3,3,5
4/5/2024,9,7,8,7
5/5/2024,12,9,13,11
6/5/2024,13,9,13,11
7/5/2024,13,9,13,11
8/5/2024,14,10,16,11
9/5/2024,17,14,19,13
11/5/2024,18,15,20,13
12/5/2024,22,19,23,15
13/5/2024,22,19,23,15
14/5/2024,23,20,24,15
15/5/2024,25,24,27,17
16/5/2024,25,27,28,18
17/5/2024,25,28,29,18
18/5/2024,28,32,33,19
19/5/2024,35,41,40,25
20/5/2024,35,41,40,25
22/5/2024,35,41,40,25
23/5/2024,37,42,41,25
24/5/2024,38,43,42,26
25/5/2024,43,49,46,31
26/5/2024,44,51,48,33
29/5/2024,44,51,49,34
31/5/2024,45,52,51,35
