noviembre,puntos_barrera,puntos_chochos,puntos_dani,puntos_velez
1/11/2024,1,2,3,1
2/11/2024,10,10,9,11
3/11/2024,14,14,13,14
5/11/2024,23,21,20,20
6/11/2024,30,27,25,26
7/11/2024,35,34,30,30
8/11/2024,38,36,33,33
9/11/2024,41,42,39,36
10/11/2024,45,47,44,39
13/11/2024,46,48,45,40
14/11/2024,54,56,52,46
15/11/2024,61,63,58,52
16/11/2024,66,68,63,56
17/11/2024,70,71,67,60
18/11/2024,74,75,73,63
19/11/2024,80,85,81,73
20/11/2024,83,87,83,76
21/11/2024,83,87,84,78
22/11/2024,84,87,84,78
23/11/2024,89,92,89,83
24/11/2024,93,94,91,85
25/11/2024,94,95,93,87
26/11/2024,102,103,102,97
27/11/2024,106,108,106,105
28/11/2024,111,114,110,110
29/11/2024,111,115,110,111
30/11/2024,118,120,116,118
