julio,puntos_barrera,puntos_chochos,puntos_dani,puntos_velez
1/7/2024,3,4,3,1
2/7/2024,5,7,6,3
4/7/2024,6,8,7,4
5/7/2024,9,10,11,6
6/7/2024,12,14,18,10
7/7/2024,13,15,19,11
9/7/2024,15,17,21,13
10/7/2024,16,18,22,14
12/7/2024,17,19,23,15
13/7/2024,19,22,26,18
14/7/2024,19,23,28,19
16/7/2024,24,24,30,21
17/7/2024,30,28,35,26
18/7/2024,32,30,36,27
19/7/2024,34,30,36,27
20/7/2024,40,33,40,30
21/7/2024,41,36,42,32
23/7/2024,42,36,42,33
24/7/2024,45,38,44,34
25/7/2024,49,40,45,36
26/7/2024,53,42,48,39
27/7/2024,59,49,56,42
28/7/2024,63,52,58,44
30/7/2024,66,55,60,44
31/7/2024,70,60,65,48
