junio,puntos_barrera,puntos_chochos,puntos_dani,puntos_velez
1/6/2024,0,1,2,2
2/6/2024,0,1,2,2
3/6/2024,1,2,3,3
4/6/2024,4,3,4,4
5/6/2024,9,7,9,8
6/6/2024,10,8,10,9
7/6/2024,14,10,13,13
8/6/2024,21,15,21,16
9/6/2024,24,18,24,18
10/6/2024,27,20,27,21
11/6/2024,29,23,29,22
12/6/2024,30,24,31,23
14/6/2024,33,27,34,26
15/6/2024,35,31,36,28
16/6/2024,38,33,39,32
17/6/2024,39,34,40,33
18/6/2024,40,36,42,35
19/6/2024,41,37,43,37
20/6/2024,42,39,44,38
21/6/2024,42,41,45,39
22/6/2024,43,43,48,41
23/6/2024,45,46,51,43
24/6/2024,48,48,53,45
25/6/2024,50,50,55,47
26/6/2024,53,52,58,50
27/6/2024,54,53,59,51
28/6/2024,56,55,59,53
29/6/2024,60,58,62,57
30/6/2024,63,60,66,60
